perfil,competenecia_laboral,familia,sector,tipo,estado
operaciones de manejo de frutales,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
operaciones especializadas del monitoreo de plagas,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
control fitosanitario de cultivo de banano,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
operaciones de sanidad vegetal en cultivo de palma,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
horticultura,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
mantenimiento de especies en producción agrícola,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
agricultura de plantación de cacao,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
deshijado en cultivo de banano,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
deshoje en cultivo de banano,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
eliminación de residuos flores en los racimos de banano,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
enfunde de racimo de banano en cultivo,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
operaciones de corte de racimo de banano en cultivo,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
operaciones de sujeción de plantas  de banano en cultivo,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
operaciones de traslado de racimo de banano en cultivo,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
actividades de selección de banano en post cosecha,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
actividades operativas de banano en post cosecha,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
empacado de banano,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
cultivo de palma,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
fertilización en cultivos de palma,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
mantenimiento de cultivo de palma,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
polinización,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
operaciones de granja integral orgánica,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
cultivo y aprovechamiento de especies útiles de la flora de la amazonia ecuatoriana,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
técnicas de manejo de cultivos orgánicos,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
manejo integral de huertos agro-ecológicos,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
operaciones especializadas en construcción de invernaderos,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
"producción, mantenimiento y control de viveros",,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
producción de semillas y propagación,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
diseño y planificación de obras civiles,,construcción,obras de ingeniería civil,desconocido,inhabilidato
pavimentos y albañilería de urbanización,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
operaciones especializadas en impermeabilización mediante membranas formadas con laminas,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
pavimentación de urbanización,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
técnicas aplicadas a construcción civil,,construcción,obras de ingeniería civil,desconocido,inhabilidato
gestión en construcción,,construcción,construcción de edificios,desconocido,inhabilidato
aplicaciones y proyectos de construcción,,construcción,construcción de edificios,desconocido,inhabilidato
operaciones para la elaboración de prefabricados de hormigón,,construcción,fabricación de otros productos minerales no metálicos,desconocido,inhabilidato
mampostería de la construcción,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
fabricación de estructuras de aluminio,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
instalación de paneles estructurales,,construcción,construcción de edificios,desconocido,inhabilidato
yesería,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
instalación de tabiques y falsos techos de yeso,,construcción,construcción de edificios,desconocido,inhabilidato
armado de instalaciones de tuberías industriales,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
asistencia en producción de eventos culturales,,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",desconocido,inhabilidato
organizador de eventos - nte inen 2 452: 2008,,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",desconocido,inhabilidato
educación en la modalidad de atención creciendo con nuestros hijos (cnh),,actividades de enseñanza,enseñanza,desconocido,inhabilidato
operaciones en turismo emisivo,,turismo y alimentación,"actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas",desconocido,inhabilidato
plomería y gasfitería,,"electricidad, gas y agua",actividades especializadas de la construcción,desconocido,inhabilidato
instalaciones sanitarias,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
plomería,,construcción,construcción de edificios,desconocido,inhabilidato
operaciones de apoyo a la construcción,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
asistencia de obras civiles,,construcción,construcción de edificios,desconocido,inhabilidato
operación de maquinaria pesada en construcción,,construcción,construcción de edificios,desconocido,inhabilidato
operaciones de maquinaria pesada,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
operaciones en montaje de cubiertas,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
colocación de pisos,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
pintura de exteriores fachadas y edificación,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
pintura y tapizado,,construcción,actividades especializadas de la construcción,desconocido,inhabilidato
