Perfil,Competenecia Laboral,Familia,Sector
OPERACIONES CON MAQUINARIA PESADA EN CONSTRUCCIÓN,"REALIZAR LA EXCAVACIÓN, MOVIMIENTO, CARGA, APLANADO O ALLANADO DE: TIERRA, PIEDRAS, GRAVA O CUALQUIER OTRO MATERIAL, UTILIZANDO LA MAQUINARIA PESADA DE CONSTRUCCIÓN, DE ACUERDO A LAS ESPECIFICACIONES TÉCNICAS DEL FABRICANTE, NORMATIVA DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTALES.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
OPERACIONES EN MONTAJE DE CUBIERTA EN ESTRUCTURA METÁLICA,"REALIZAR OPERACIONES DE MONTAJE DE CUBIERTA (ZINC, PLANCHA DE FIBROCEMENTO, ETC.) EN ESTRUCTURA METÁLICA, DE ACUERDO A REQUERIMIENTOS, ESPECIFICACIONES TÉCNICAS DEL FABRICANTE Y NORMATIVA DE SEGURIDAD Y SALUD EN EL TRABAJO.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
REVESTIMIENTO DE SUPERFICIES HORIZONTALES Y VERTICALES,"REVESTIR SUPERFICIES HORIZONTALES O VERTICALES CON UN DETERMINADO MATERIAL APLICANDO NORMAS TÉCNICAS DE LA CONSTRUCCIÓN, DE SEGURIDAD Y SALUD EN EL TRABAJO, DE MEDIO AMBIENTE VIGENTES Y LAS ESPECIFICACIONES ESTABLECIDAS EN EL PROYECTO DE LA OBRA.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
INSTALACIONES HIDROSANITARIAS,"REALIZAR LAS INSTALACIONES HIDROSANITARIAS, MANTENIMIENTO Y REPARACIÓN DE APARATOS HIDROSANITARIOS, CUMPLIENDO EL REQUERIMIENTO DEL CONTRATANTE, LAS NORMAS TÉCNICAS DE LA CONSTRUCCIÓN, DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE VIGENTES.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
SUPERVISIÓN DE EDIFICACIONES Y OBRAS CIVILES,"SUPERVISAR LAS ACTIVIDADES Y EJECUCIÓN DE LA OBRA DE ACUERDO A LAS DISPOSICIONES DE LA DIRECCIÓN, DISEÑO Y ESPECIFICACIONES TÉCNICAS DEL PROYECTO, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, REGLAMENTO INTERNO, REGLAMENTO DE SEGURIDAD Y NORMA AMBIENTAL.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
OPERACIONES EN TURISMO RECEPTIVO,ASESORAR EN EL PAQUETE TURÍSTICO NACIONAL DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS,TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
INSTALACIÓN Y MANTENIMIENTO DE EQUIPOS ELECTRÓNICOS Y ELÉCTRICOS,"REALIZAR LA INSTALACIÓN Y MANTENIMIENTO DE EQUIPOS ELECTRÓNICOS DE CONSUMO, DE SONIDO E IMAGEN, MICROINFORMATICOS Y DE TELECOMUNICACIÓN REALIZANDO EL SERVICIO TECNICO POSVENTA EN CONDICIONES DE CALIDAD Y TIEMPO DE RESPUESTA ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
ACABADO DE CARPINTERÍA Y MUEBLE,"PREPARAR LOS SOPORTES, PRODUCTOS Y EQUIPOS Y OPERAR LAS MÁQUINAS PARA LA APLICACIÓN DE PRODUCTOS DE ACABADO, REALIZAR EL TINTADO Y ACABADOS ESPECIALES Y DECORATIVOS, CONSIGUIENDO LA CALIDAD REQUERIDA, EN CONDICIONES DE SALUD LABORAL.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE MUEBLES
CARPINTERÍA,"EJECUTAR LA CONSTRUCCION, MONTAJE Y REPARACION DE PRODUCTOS DE CARPINTERIA Y MUEBLES EN CONDICIONES DE SEGURIDAD Y DE PROTECCION DEL MEDIO AMBIENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES"
CONSTRUCCIÓN DE REDES ELÉCTRICAS DE MEDIA Y BAJA TENSIÓN,"CONSTRUIR REDES ELÉCTRICAS DE MEDIA Y BAJA TENSIÓN, TOMANDO EN CONSIDERACIÓN TÉCNICAS HOMOLOGADAS, CUMPLIENDO NORMAS DE SEGURIDAD, SALUD EN EL TRABAJO Y MEDIO AMBIENTE",ACTIVIDADES TIPO SERVICIOS,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
GESTIÓN DE SISTEMAS AUTOMATIZADOS PARA EDIFICACIONES,"INTEGRAR Y MANTENER ELEMENTOS INFORMÁTICOS Y DE COMUNICACIONES EN SISTEMAS DE AUTOMATIZACIÓN DE EDIFICIOS DOMÓTICAS E INNATICOS, DE CONTROL DE ACCESOS Y PRESENCIA, Y DE VIDEO VIGILANCIA A NIVEL DE HARDWARE Y SOFTWARE, ASEGURANDO EL FUNCIONAMIENTO DE LOS DISTINTOS MÓDULOS QUE LOS COMPONEN, EN CONDICIONES DE CALIDAD Y SEGURIDAD, CUMPLIENDO LA NORMATIVA Y REGLAMENTACIÓN VIGENTES.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS"
INSTRUCTOR DE SEGURIDAD ALIMENTARIA - NTE INEN 2 460: 2008,"EL INSTRUCTOR DE SEGURIDAD ALIMENTARIA SE OCUPA, PRINCIPALMENTE, DE APLICAR PROGRAMAS DE CAPACITACIÓN PARA MEJORAR LA COMPETENCIA DE PROFESIONALES EN EL LOCAL DE TRABAJO Y MEDIO EDUCACIONAL; LOGRAR MEJORES RESULTADOS EN LA APLICACIÓN DE LOS CONCEPTOS BÁSICOS DE SEGURIDAD ALIMENTARIA DESCRITOS EN LAS NTE INEN 2 458 Y 2 459.",ACTIVIDADES DE ENSEÑANZA,SERVICIO DE ALIMENTO Y BEBIDA
SUPERVISIÓN DE LA GESTIÓN DOCUMENTAL Y ARCHIVO,"CONTROLAR LOS PROCESOS DE GESTIÓN DOCUMENTAL Y ARCHIVO INSTITUCIONAL DE CONFORMIDAD A LAS POLÍTICAS, OBJETIVOS INSTITUCIONALES Y NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.
SERVICIO DE VINOS Y LICORES,"GESTIONAR EL SERVICIO DE VINOS, SUS DERIVADOS (ESPUMANTES, BRANDI, GRAPAS, COÑAC, OPORTO), LICORES, ALCOHOLES NOBLES Y BEBIDAS GOURMET Y SU MARIDAJE, EN FUNCIÓN DE LA PROPUESTA GASTRONÓMICA REQUERIDA, PROCEDIMIENTOS Y NORMATIVA ESTABLECIDA.",TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
GESTIÓN PROTOCOLAR PARA EL DESARROLLO DE EVENTOS,"COORDINAR LA GESTIÓN PROTOCOLAR PARA EL DESARROLLO DE EVENTOS, ESTABLECIENDO PROCEDIMIENTOS Y REQUERIMIENTOS DE ACUERDO ALOS OBJETIVOS ESPERADOS",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS
ATENCIÓN INTEGRAL EN CENTRO DE DESARROLLO INFANTIL,"REALIZAR LA ATENCIÓN INTEGRAL (CUIDADO, DESARROLLO Y APRENDIZAJE) DE NIÑOS DE 12 A 36 MESES DE EDAD EN LOS CENTROS DE DESARROLLO INFANTIL (CDI); PROMOVIENDO ACCIONES DE PROTECCIÓN DE ACUERDO A LOS LINEAMIENTOS ESTABLECIDO EN LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO
ATENCIÓN INTEGRAL EN LA MODALIDAD CRECIENDO CON NUESTROS HIJOS (CNH),"BRINDAR CONSEJERÍA FAMILIAR, PROMOVIENDO LA PROTECCIÓN INTEGRAL DE MUJERES GESTANTES, NIÑOS DE 0 A 36 MESES DE EDAD DE CONFORMIDAD A LA NORMATIVA VIGENTE",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO
COORDINACIÓN EN CENTROS DE DESARROLLO INFANTIL,"DIRIGIR LAS ACTIVIDADES DEL CENTRO DE DESARROLLO INFANTIL, PROMOVIENDO ACCIONES DE PROTECCIÓN, CUIDADO Y DESARROLLO INTEGRAL DE NIÑOS DE 0 A 36 MESES DE EDAD Y FAMILIAS DE ACUERDO A LO ESTABLECIDO EN LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO
OPERACIONES ARCHIVÍSTICAS/ ADMINISTRACIÓN DE ARCHIVOS,ADMINISTRAR LA INFORMACIÓN MANUAL O AUTOMATIZADA DE LA GESTIÓN DOCUMENTAL Y ARCHIVO DE ACUERDO A NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES"
GESTIÓN DE TURISMO RURAL,"GESTIONAR LAS OPERACIONES TURÍSTICAS EN ESPACIOS RURALES Y COMUNITARIOS DE ACUERDO A LAS NORMAS BÁSICAS DE SEGURIDAD, HIGIENE, SOCIOCULTURAL, POLITICO Y AMBIENTAL",TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
OPERACIONES DE LAVANDERÍA Y ROPERÍA,"REALIZAR EL LAVADO, SECADO, PLANCHADO Y ARREGLO DE LA LENCERIA / MANTELERÍA Y PRENDAS DE LOS CLIENTES, APLICANDO LAS NORMAS DE SEGURIDAD E HIGIENE ESTABLECIDAS DE ACUERDO A LA NORMATIVA VIGENTE",TURISMO Y ALIMENTACIÓN,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
OPERACIONES EN TURISMO EMISIVO,"PROCESAR PAQUETES DE SERVICIO TURÍSTICO INTERNACIONAL CONTRATADO, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE",TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
SUPERVISIÓN DE LIMPIEZA DE HABITACIONES Y ÁREAS DE CIRCULACIÓN,SUPERVISAR LA LIMPIEZA Y ARREGLO DE HABITACIONES Y ÁREAS DECIRCULACIÓN DEL ESTABLECIMIENTO DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE,TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
PREPARACIÓN GASTRONÓMICA DE PANADERÍA,"ELABORAR DIFERENTES TIPOS DE PRODUCTOS DE PANADERÍA DE ACUERDO A NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL, BUENAS PRÁCTICAS DE MANUFACTURA Y REQUERIMIENTOS ESTABLECIDOS",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
PREPARACIÓN GASTRONÓMICAS DE PASTELERÍA,"ELABORAR PRODUCTOS PASTELEROS DE ACUERDO A NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL, BUENAS PRÁCTICAS DE MANUFACTURA Y REQUERIMIENTOS ESTABLECIDOS",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
ACTIVIDADES DE LIMPIEZA Y ARREGLO DE ÁREAS DE ALOJAMIENTO,"EFECTUAR EL PROCESO DE LIMPIEZA Y ARREGLO DE HABITACIONES Y SU ENTORNO ADYACENTE EN ESTABLECIMIENTOS DE ALOJAMIENTO, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMAS DE HIGIENE, SALUD Y SEGURIDAD EN EL TRABAJO",TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
ACTIVIDADES DE RECEPCIÓN,"REALIZAR ACTIVIDADES DE RECEPCIÓN DEL SERVICIO DE ALOJAMIENTO DE ACUERDO A LOS PROCEDIMIENTOS, POLÍTICAS DEL ESTABLECIMIENTO Y A LA NORMATIVA LEGAL VIGENTE",TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
ATENCIÓN Y TRASLADO DE HUÉSPED,ATENDER AL HUÉSPED EN LA ENTRADA Y SALIDA DEL ESTABLECIMIENTO OFRECIENDO ATENCIÓN PERSONALIZADA E INFORMACIÓN DE ACUERDO A LA NORMATIVA LEGAL VIGENTE Y PROTOCOLOS ESTABLECIDOS,TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
GESTIÓN DE OPERADORA TURÍSTICA,"GESTIONAR LAS ACTIVIDADES GENERALES DE LA OPERADORA (AGENCIAS DE VIAJES, CENTRALES DE RESERVAS, TOUR OPERADORES, BROKERS, CONSORCIOS DE TURISMO, ENTRE OTROS) DE ACUERDO A LAS POLÍTICAS, NORMAS Y PROCEDIMIENTOS ESTABLECIDOS",TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
GUIANZA TURÍSTICA,"REALIZAR LA ACTIVIDAD DE GUIANZA DENTRO DE UN TERRITORIO DETERMINADO A UNA O MÁS PERSONAS QUE REALIZAN ACTIVIDADES TURÍSTICAS, RECREATIVAS O ACADÉMICAS, DE ACUERDO A LAS NECESIDADES DE LOS TURISTAS, DE LA AGENCIA DE SERVICIOS TURÍSTICOS Y/O INSTITUCIONES PÚBLICAS O PRIVADAS, Y A LA NORMATIVA LEGAL VIGENTE",TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
ENTRENAMIENTO CANINO,REALIZAR EL ADIESTRAMIENTO CANINO POR ESPECIALIDAD DE ACUERDO CON LA NORMATIVA NACIONAL E INTERNACIONAL VIGENTE Y PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
OPERACIONES EN SERVICIO DE ALIMENTOS Y BEBIDAS,REALIZAR EL SERVICIO DE ALIMENTOS Y BEBIDAS DE ACUERDO A PROTOCOLOS ESTABLECIDOS Y LA NORMATIVA VIGENTE,TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
ACTIVIDADES DE DOCENCIA EN LA METODOLOGÍA APRENDIZAJE BASADO EN PROYECTOS ABP,FACILITAR LA IMPLEMENTACIÓN DE METODOLOGÍAS DE APRENDIZAJE A TRAVÉS DE LA COMPRENSIÓN DE SU IMPACTO EN LA FORMACIÓN INTEGRAL DE ESTUDIANTES Y EN LA MEJORA DE LA RELACIÓN DOCENTE  ESTUDIANTE DE ACUERDO A OBJETIVOS ESTABLECIDOS.,ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA
"CONDUCCIÓN DE VEHÍCULOS DE 4 RUEDAS O MÁS, DE HASTA 26 ASIENTOS PARA TRANSPORTE DE PASAJEROS, Y PARA EL USO COMERCIAL","REALIZAR LA CONDUCCIÓN DE VEHÍCULOS DE 4 RUEDAS O MÁS DISEÑADOS PARA EL TRANSPORTE DE PASAJEROS CON CAPACIDAD MÁXIMA DE 26 ASIENTOS, Y VEHÍCULOS CON UNA CAPACIDAD DE CARGA DE HASTA 3,5 TONELADAS PARA USO COMERCIAL, TOMANDO EN CONSIDERACIÓN LA NORMATIVA DE TRÁNSITO VIGENTE Y ESPECIFICACIONES TÉCNICAS ESTABLECIDAS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
PREPARACIÓN DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS,"EJECUTAR PROCESOS DE ELABORACIÓN Y MONTAJE DE BEBIDAS ALCOHÓLICOS Y NO ALCOHÓLICOS DE ACUERDO CON LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MANIPULACIÓN DE ALIMENTOS Y PROTOCOLO ESTABLECIDO.",TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
"CONDUCCIÓN DE VEHÍCULOS PESADOS Y DE USO ESPECIAL DE 4 RUEDAS O MÁS DISEÑADOS PARA EL TRANSPORTE PÚBLICO, COMERCIAL O DEL ESTADO","REALIZAR LA CONDUCCIÓN DE VEHÍCULOS PESADOS Y DE USO ESPECIAL DE 4 RUEDAS O MÁS DISEÑADOS PARA EL TRANSPORTE PÚBLICO, COMERCIAL O DEL ESTADO; TOMANDO EN CONSIDERACIÓN LA NORMATIVA DE TRÁNSITO VIGENTE Y ESPECIFICACIONES TÉCNICAS ESTABLECIDAS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
"CONTROL DE FUNCIONAMIENTO DE LA CÁMARA DE MÁQUINAS, EQUIPOS AUXILIARES Y LOS SISTEMAS DE CONTROL CORRESPONDIENTES DEL BUQUE",REALIZAR UNA GUARDIA DE MÁQUINAS SEGURA HACIENDO FUNCIONAR LA MAQUINARIA PRINCIPAL Y AUXILIAR Y LOS SISTEMAS DE CONTROL CORRESPONDIENTES.,"TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
EFICIENCIA ENERGÉTICA EN EDIFICIOS,"PROMOVER EL USO EFICIENTE DE LA ENERGÍA Y EL AGUA EVALUANDO LA EFICIENCIA DE LAS INSTALACIONES EN ÁREAS RESIDENCIALES, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.","ELECTRICIDAD, GAS Y AGUA","OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
EFICIENCIA ENERGÉTICA EN EL USO DE SISTEMAS DE AIRE ACONDICIONADO Y VENTILACIÓN MECÁNICA,"REALIZAR ACCIONES DE OPTIMIZACIÓN DE LA EFICIENCIA ENERGÉTICA DE INSTALACIONES DE CLIMATIZACIÓN, VENTILACIÓN-EXTRACCIÓN Y FILTRADO DE AIRE EN EDIFICIOS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.","ELECTRICIDAD, GAS Y AGUA","OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
"EXPLORACIÓN, BÚSQUEDA E INVESTIGACIÓN GEOLÓGICA EN MINA (GEÓLOGO DE MINA)","REALIZAR LAS ACTIVIDADES DE PROSPECCIÓN Y EXPLORACIÓN EN MINA, A TRAVÉS DE MAPAS E INSTRUMENTOS TÉCNICOS,  PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA DE SEGURIDAD VIGENTE.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
FORMACIÓN DE FORMADORES,"FACILITAR EL PROCESO DE ENSEÑANZA APRENDIZAJE DE METODOLOGÍAS, PRÁCTICAS PEDAGÓGICAS Y EVALUACIÓN DE ACUERDO A LAS NECESIDADES DEL GRUPO OBJETIVO.",ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA
DISEÑO GRÁFICO Y COMUNICACIÓN VISUAL,"REALIZAR LA INTERPRETACIÓN Y DEFINICIÓN DE PROPUESTAS DE DISEÑO GRÁFICO Y COMUNICACIÓN VISUAL DE COMPLEJIDAD MEDIA, UTILIZANDO HERRAMIENTAS COMPUTACIONALES DE VANGUARDIA Y TECNOLOGÍA ACORDES CON LAS NUEVAS FORMAS DE COMUNICACIÓN E INFORMACIÓN PARA LOGRAR RESPUESTAS CREATIVAS EN PLAZOS RAZONABLES QUE INCORPOREN CONCEPTOS DE IDENTIDAD, UNIVERSALIDAD, CONTEMPORANEIDAD Y CALIDAD, AJUSTADAS A LOS REQUERIMIENTOS DEL CLIENTE Y CARACTERÍSTICAS DE LA POBLACIÓN OBJETIVO.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
GESTIONES DE PRÁCTICA DEL PROJECT MANAGEMENT (PMI),"APLICAR LAS HERRAMIENTAS Y TÉCNICAS EN LOS PROCESOS DE DIRECCIÓN DE PROYECTOS, APOYANDO EL DESARROLLO DE LA INICIACIÓN, PLANIFICACIÓN, EJECUCIÓN, SEGUIMIENTO Y CONTROL, Y CIERRE DE PROYECTOS.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
INSTALACIÓN DE EQUIPOS Y MÁQUINAS ELÉCTRICAS,"REALIZAR LA CONSTRUCCIÓN Y MANTENIMIENTO DE LÍNEAS E INSTALACIONES DE DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA EN MEDIA Y BAJA TENSIÓN, CÁMARAS DE TRANSFORMACIÓN E INSTALACIONES DE SERVICIOS ESPECIALES Y DE AUTOMATIZACIÓN DE EDIFICIOS, ASÍ COMO LA CONSTRUCCIÓN, ENSAYO Y MANTENIMIENTO DE MÁQUINAS ELÉCTRICAS, APLICANDO LOS PROCEDIMIENTOS TÉCNICOS ESTABLECIDOS Y LAS NORMAS DE SEGURIDAD E HIGIENE EN EL TRABAJO.","ELECTRICIDAD, GAS Y AGUA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
MECÁNICA Y OPERACIÓN DE MÁQUINAS CERRADORAS Y ENVASADORAS,"REALIZAR LA OPERACIÓN, MANTENIMIENTO Y MECÁNICA BÁSICA DE MAQUINAS CERRADORAS Y ENVASADORAS DE ACUERDO A LOS MANUALES TÉCNICOS DE LOS FABRICANTES Y EN CONDICIONES DE SEGURIDAD, AUTONOMÍA Y CUIDADO DEL MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
OPERACIÓN DE MÁQUINA DE INYECCIÓN Y SOPLADO DE PLÁSTICO,"OPERAR LA MAQUINARIA DE INYECCIÓN Y SOPLADO DE PLÁSTICO, PREPARANDO LA MATERIA PRIMA Y VERIFICANDO QUE EL PROCESO DE PRODUCCIÓN SE REALICE EN LAS CONDICIONES TÉCNICAS ESTABLECIDAS Y DE SEGURIDAD.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO
OPERACIÓN DE MÁQUINAS DE FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS,"OPERAR LOS EQUIPOS Y MAQUINARIA PARA LA FABRICACIÓN DE LOS PRODUCTOS FARMACÉUTICOS DE ACUERDO A ORDEN DE PRODUCCIÓN, BUENAS PRÁCTICAS DE MANUFACTURA Y NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO"
OPERACIÓN DE MÁQUINAS INDUSTRIALES DE CONFECCIÓN TEXTIL,"CONFECCIONAR PRODUCTOS DE GENERO TEXTIL OPERANDO MAQUINAS INDUSTRIALES CON EFICIENCIA, CUMPLIENDO LAS NORMAS TÉCNICAS, DE SEGURIDAD INDUSTRIAL, DE SALUD OCUPACIONAL Y CONSERVACIÓN AMBIENTAL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
VIGILANCIA Y MONITOREO CON CANES ADIESTRADOS,EJECUTAR LA INSPECCIÓN Y CUARENTENA EN PUERTOS Y AEROPUERTOS; Y VIGILANCIA PARA LA DETECCIÓN DE ESPECIES INTRODUCIDAS MEDIANTE CANES ADIESTRADOS CUMPLIENDO LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
CONTROL DE CALIDAD DE MATERIA PRIMA PARA PRODUCCIÓN DE ALIMENTOS,"VERIFICAR LA CALIDAD DE LA MATERIA PRIMA PARA PRODUCCIÓN DE ALIMENTOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS, CUMPLIENDO LA NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
INSPECCIÓN SANITARIA EN ESTABLECIMIENTOS DE DISTRIBUCIÓN DE PRODUCTOS AGROPECUARIOS,"VERIFICAR ESTABLECIMIENTOS DE INGRESO, MANEJO Y USO DE PLAGUICIDAS QUÍMICOS DE USO AGRÍCOLA DE ACUERDO A CONTROLES PROGRAMADOS QUE PERMITAN GARANTIZAR LA INOCUIDAD ALIMENTARIA, LA INTEGRIDAD ECOLÓGICA DE LOS ECOSISTEMAS Y LA PRODUCCIÓN AGROPECUARIA CUMPLIENDO LA NORMATIVA VIGENTE.",PRODUCCIÓN PECUARIA,FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS
CALZADO Y MARROQUINERÍA,"ELABORAR PATRONES AJUSTADOS AL DISEÑO DE LOS DIFERENTES MODELOS Y PRODUCIR INDUSTRIALMENTE EL CORTE, ENSAMBLAJE, MONTADO Y ACABADO DE CALZADO Y DE ARTÍCULOS DE MARROQUINERÍA, SEGÚN LA INTERPRETACIÓN DE LAS FICHAS TÉCNICAS Y ÓRDENES DE FABRICACIÓN, LOGRANDO EL ÓPTIMO RENDIMIENTO DE LOS MEDIOS Y MATERIALES REQUERIDOS, PRODUCIÉNDOLOS EN CANTIDAD Y CALIDAD, EN LOS PLAZOS ESTABLECIDOS Y EN CONDICIONES DE SEGURIDAD.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
